Date,JPY_LKR_Selling_Rate
2025-01-01,1.9039
2025-01-02,1.9020
2025-01-03,1.9022
2025-01-06,1.9032
2025-01-07,1.9063
2025-01-08,1.9117
2025-01-09,1.9113
2025-01-10,1.9014
2025-01-15,1.9060
2025-01-16,1.9358
2025-01-17,1.9465
2025-01-20,1.9403
2025-01-21,1.9544
2025-01-22,1.9499
2025-01-23,1.9479
2025-01-24,1.9530
2025-01-27,1.9554
2025-01-28,1.9569
2025-01-29,1.9489
2025-01-30,1.9606
2025-01-31,1.9691
2025-02-03,1.9580
2025-02-05,1.9939
2025-02-06,2.0021
2025-02-07,2.0067
2025-02-10,1.9952
2025-02-11,1.9935
2025-02-13,1.9649
2025-02-14,1.9742
2025-02-17,1.9882
2025-02-18,1.9843
2025-02-19,1.9918
2025-02-20,2.0100
2025-02-21,2.0068
2025-02-24,2.0185
2025-02-25,2.0112
2025-02-27,2.0197
2025-02-28,2.0156
2025-03-03,2.0033
2025-03-04,2.0184
2025-03-05,2.0079
2025-03-06,2.0209
2025-03-07,2.0405
2025-03-10,2.0417
2025-03-11,2.0490
2025-03-12,2.0342
2025-03-14,2.0321
2025-03-17,2.0356
2025-03-18,2.0205
2025-03-19,2.0207
2025-03-20,2.0378
2025-03-21,2.0281
2025-03-24,2.0193
2025-03-25,2.0083
2025-03-26,2.0126
2025-03-27,2.0122
2025-03-28,2.0037
2025-04-01,2.0163
2025-04-02,2.0160
2025-04-03,2.0479
2025-04-04,2.0728
2025-04-07,2.0659
2025-04-08,2.0604
2025-04-09,2.1026
2025-04-10,2.0743
2025-04-11,2.1235
2025-04-16,2.1320
2025-04-17,2.1363
2025-04-21,2.1653
2025-04-22,2.1734
2025-04-23,2.1520
2025-04-24,2.1413
2025-04-25,2.1374
2025-04-28,2.1267
2025-04-29,2.1445
2025-04-30,2.1439
2025-05-02,2.1016
2025-05-05,2.1161
2025-05-06,2.1222
2025-05-07,2.1331
2025-05-08,2.1247
2025-05-09,2.0922
2025-05-14,2.0722
2025-05-15,2.0815
2025-05-16,2.0943
2025-05-19,2.1018
2025-05-20,2.1103
2025-05-21,2.1268
2025-05-22,2.1313
2025-05-23,2.1254
2025-05-26,2.1424
2025-05-27,2.1452
2025-05-28,2.1139
2025-05-29,2.0944
2025-05-30,2.1205
2025-06-02,2.1262
2025-06-03,2.1325
2025-06-04,2.1201
2025-06-05,2.1347
2025-06-06,2.1199
2025-06-09,2.1102
2025-06-11,2.1022
2025-06-12,2.1163
2025-06-13,2.1279
2025-06-16,2.1168
2025-06-17,2.1184
2025-06-18,2.1137
2025-06-19,2.1100
2025-06-20,2.1094
2025-06-23,2.0910
2025-06-24,2.1075
2025-06-25,2.1144
2025-06-26,2.1128
2025-06-27,2.1180
2025-06-30,2.1198
2025-07-01,2.1281
2025-07-02,2.1304
2025-07-03,2.1277
2025-07-04,2.1138
2025-07-07,2.1116
2025-07-08,2.0995
2025-07-09,2.0822
2025-07-11,2.0827
2025-07-14,2.0803
2025-07-15,2.0751
2025-07-16,2.0585
2025-07-17,2.0660
2025-07-18,2.0659
2025-07-21,2.0680
2025-07-22,2.0826
2025-07-23,2.0903
2025-07-24,2.1035
2025-07-25,2.0843
2025-07-28,2.0784
2025-07-29,2.0716
2025-07-30,2.0782
2025-07-31,2.0658
2025-08-01,2.0404
2025-08-04,2.0756
2025-08-05,2.0816
2025-08-06,2.0756
2025-08-07,2.0753
2025-08-11,2.0745
2025-08-12,2.0645
2025-08-13,2.0691
2025-08-14,2.0888
2025-08-15,2.0803
2025-08-18,2.0776
2025-08-19,2.0748
2025-08-20,2.0794
2025-08-21,2.0816
2025-08-22,2.0680
2025-08-25,2.0839
2025-08-26,2.0842
2025-08-27,2.0817
2025-08-28,2.0899
2025-08-29,2.0940
2025-09-01,2.0908
2025-09-02,2.0815
2025-09-03,2.0659
2025-09-04,2.0746
2025-09-08,2.0750
2025-09-09,2.0858
2025-09-10,2.0856
2025-09-11,2.0842
2025-09-12,2.0828
2025-09-15,2.0831
2025-09-16,2.0885
2025-09-17,2.0969
2025-09-18,2.0906
2025-09-19,2.0778
2025-09-22,2.0744
2025-09-23,2.0828
2025-09-24,2.0827
2025-09-25,2.0679
2025-09-26,2.0538
2025-09-29,2.0666
2025-09-30,2.0705
2025-10-01,2.0808
2025-10-02,2.0917
2025-10-03,2.0845
2025-10-07,2.0459
2025-10-08,2.0186
2025-10-09,2.0193
2025-10-10,2.0149
2025-10-13,2.0266
2025-10-14,2.0208
2025-10-15,2.0385
2025-10-16,2.0442
2025-10-17,2.0537
2025-10-21,2.0410
2025-10-22,2.0337
2025-10-23,2.0254
2025-10-24,2.0192
2025-10-27,2.0205
2025-10-28,2.0312
2025-10-29,2.0361
2025-10-30,2.0311
2025-10-31,2.0128
2025-11-03,2.0108
2025-11-04,2.0093
2025-11-06,2.0151
2025-11-07,2.0262
2025-11-10,2.0153
2025-11-11,2.0060
2025-11-12,2.0063
2025-11-13,2.0036
2025-11-14,2.0141
2025-11-17,2.0202
2025-11-18,2.0154
2025-11-19,2.0180
2025-11-20,1.9926
2025-11-21,1.9919
2025-11-24,1.9997
2025-11-25,1.9988
2025-11-26,2.0110
2025-11-27,2.0077
2025-11-28,2.0058
2025-12-01,2.0160
2025-12-02,2.0174
2025-12-03,2.0181
2025-12-05,2.0260
2025-12-08,2.0252
2025-12-09,2.0147
2025-12-10,2.0054
2025-12-11,2.0185
2025-12-12,2.0201
2025-12-15,2.0237
2025-12-16,2.0329
2025-12-17,2.0330
2025-12-18,2.0229
2025-12-19,2.0201
2025-12-22,2.0015
2025-12-23,2.0155
2025-12-24,2.0228
2025-12-26,2.0166
2025-12-29,2.0148
2025-12-30,2.0177
2025-12-31,2.0169
2026-01-01,2.0126
2026-01-02,2.0099
2026-01-05,2.0062
2026-01-06,2.0168
2026-01-07,2.0139
2026-01-08,2.0124
2026-01-09,2.0030
2026-01-12,1.9926
2026-01-13,1.9839
2026-01-14,1.9760
2026-01-16,1.9888
2026-01-19,1.9965
2026-01-20,1.9947
2026-01-21,1.9941
2026-01-22,1.9890
2026-01-23,1.9867
2026-01-26,2.0441
2026-01-27,2.0414
2026-01-28,2.0616
2026-01-29,2.0582
2026-01-30,2.0464
2026-02-02,2.0298
2026-02-03,2.0257
2026-02-05,2.0075
2026-02-06,2.0082
2026-02-09,2.0076
2026-02-10,2.0260
2026-02-11,2.0476
2026-02-12,2.0628
2026-02-13,2.0552
2026-02-16,2.0556
2026-02-17,2.0542
2026-02-18,2.0504
2026-02-19,2.0309
2026-02-20,2.0285
2026-02-23,2.0399
2026-02-24,2.0314
2026-02-25,2.0213
2026-02-26,2.0190
2026-02-27,2.0197
2026-03-03,2.0039
2026-03-04,2.0030
2026-03-05,2.0145
2026-03-06,2.0116
2026-03-09,1.9957
2026-03-10,2.0080
2026-03-11,1.9997
2026-03-12,1.9907
2026-03-13,1.9869
2026-03-16,1.9859
2026-03-17,1.9894
2026-03-18,1.9926
2026-03-19,1.9841
2026-03-20,2.0032
2026-03-23,1.9926
2026-03-24,2.0132
2026-03-25,2.0097
2026-03-26,2.0040
2026-03-27,2.0053
2026-03-31,2.0102
2026-04-02,2.0147
2026-04-06,2.0113
2026-04-07,2.0077
2026-04-08,2.0245
2026-04-09,2.0210
2026-04-10,2.0172
